,,,,,,,,,,,,,,,,,,,,,,,
1,Index,Type,Id,Name,Explain,SortId,Price,Rare,Attack,Defense,Critical,Attribute,AttributeValue,SubAttribute,SubAttributeValue,SlotLevel,SkillAndLevel,Wp08BinType,Wp08BinValue,SharpnessValList,TakumiValList,ModelId,CustomModelId
12,11,SLASH_AXE,SlashAxe_010,Iron Accelerator I,A switch axe with curved bladesfor beginners. Both sword andaxe cut easily into prey.,9,800,2,120,0,0,NONE,0,NONE,0,"[0, 0, 0]",['Rapid Morph: 1'],POISON,18,"[20, 40, 90, 50, 0, 0, 0]","[50, 0, 0, 0]",10001,0
13,12,SLASH_AXE,SlashAxe_011,Iron Accelerator II,A switch axe with curved bladesfor beginners. Both sword andaxe cut easily into prey.,10,2600,4,160,0,0,NONE,0,NONE,0,"[1, 0, 0]",['Rapid Morph: 2'],POISON,20,"[20, 60, 90, 80, 0, 0, 0]","[50, 0, 0, 0]",10001,0
14,13,SLASH_AXE,SlashAxe_012,Iron Accelerator III,A switch axe with curved bladesfor beginners. Both sword andaxe cut easily into prey.,11,10000,6,190,0,0,NONE,0,NONE,0,"[2, 1, 0]",['Rapid Morph: 3'],POISON,23,"[20, 70, 90, 60, 60, 0, 0]","[50, 0, 0, 0]",10001,0
15,14,SLASH_AXE,SlashAxe_013,Chrome Accelerator,An upgraded Iron Acceleratorwith a rare steel. Optimizationallows for seamless morphingbetween modes.,12,20000,8,220,0,0,NONE,0,NONE,0,"[3, 2, 1]",['Rapid Morph: 3'],POISON,25,"[20, 60, 90, 70, 50, 60, 0]","[50, 0, 0, 0]",10001,0
16,15,SLASH_AXE,SlashAxe_014,Barina Hache I,A Lala Barina switch axe. Theparalytic agent dripping from itspetals robs their prey of freedom.,47,500,1,100,0,10,PARALYSE,10,NONE,0,"[0, 0, 0]",['Critical Draw: 1'],POWER,0,"[50, 40, 40, 70, 0, 0, 0]","[50, 0, 0, 0]",1,0
17,16,SLASH_AXE,SlashAxe_015,Barina Hache II,A Lala Barina switch axe. Theparalytic agent dripping from itspetals robs their prey of freedom.,48,1500,3,120,0,10,PARALYSE,12,NONE,0,"[0, 0, 0]","['Critical Draw: 1', 'Critical Status: 1']",POWER,0,"[70, 40, 30, 110, 0, 0, 0]","[50, 0, 0, 0]",1,0
18,17,SLASH_AXE,SlashAxe_016,Barina Hache III,A Lala Barina switch axe. Theparalytic agent dripping from itspetals robs their prey of freedom.,49,4000,5,150,0,15,PARALYSE,15,NONE,0,"[2, 1, 0]","['Critical Draw: 1', 'Critical Status: 1']",POWER,0,"[70, 40, 30, 100, 60, 0, 0]","[50, 0, 0, 0]",1,0
19,18,SLASH_AXE,SlashAxe_017,Barina Hache IV,A Lala Barina switch axe. Theparalytic agent dripping from itspetals robs their prey of freedom.,50,14000,7,180,0,15,PARALYSE,17,NONE,0,"[3, 2, 0]","['Critical Draw: 2', 'Critical Status: 1']",POWER,0,"[70, 40, 30, 90, 60, 60, 0]","[50, 0, 0, 0]",1,0
20,19,SLASH_AXE,SlashAxe_018,Lala Selenocosmi,"An upgraded Barina Hache,reforged with new materialsthat transform the wielderinto a scarlet dancer.",51,20000,8,200,0,15,PARALYSE,20,NONE,0,"[3, 2, 1]","['Critical Draw: 2', 'Critical Status: 1']",POWER,0,"[70, 40, 30, 60, 40, 110, 0]","[50, 0, 0, 0]",2,0
21,20,SLASH_AXE,SlashAxe_019,Golba Vandal I,"A switch axe built from sturdyCongalala parts to increaseoverall durability—and, uh,fragrance.",28,800,2,120,0,5,NONE,0,NONE,0,"[0, 0, 0]","['Punishing Draw: 1', 'Critical Draw: 1']",PARALYSE,16,"[50, 60, 50, 40, 0, 0, 0]","[50, 0, 0, 0]",3,0
22,21,SLASH_AXE,SlashAxe_020,Golba Vandal II,"A switch axe built from sturdyCongalala parts to increaseoverall durability—and, uh,fragrance.",29,4000,5,170,0,5,NONE,0,NONE,0,"[2, 1, 0]","['Punishing Draw: 2', 'Critical Draw: 1']",PARALYSE,18,"[70, 80, 60, 60, 30, 0, 0]","[50, 0, 0, 0]",3,0
23,22,SLASH_AXE,SlashAxe_021,Gundava Vandal,An upgraded Golba Vandal.A thousand battles couldn'tlessen its edge...or aroma.,30,20000,8,220,0,5,NONE,0,NONE,0,"[3, 2, 1]","['Punishing Draw: 2', 'Critical Draw: 2']",PARALYSE,20,"[60, 70, 60, 60, 50, 50, 0]","[50, 0, 0, 0]",3,0
24,23,SLASH_AXE,SlashAxe_022,Dosha Fleshhacker I,"A Doshaguma switch axeas fearsome as the monsteritself. It sinks deep intoprey, shattering bone.",35,800,2,140,20,-5,NONE,0,NONE,0,"[0, 0, 0]",['Power Prolonger: 1'],POWER,0,"[20, 90, 90, 0, 0, 0, 0]","[20, 30, 0, 0]",4,0
25,24,SLASH_AXE,SlashAxe_023,Dosha Fleshhacker II,"A Doshaguma switch axeas fearsome as the monsteritself. It sinks deep intoprey, shattering bone.",36,2600,4,180,20,-5,NONE,0,NONE,0,"[1, 0, 0]",['Power Prolonger: 2'],POWER,0,"[40, 80, 90, 40, 0, 0, 0]","[50, 0, 0, 0]",4,0
26,25,SLASH_AXE,SlashAxe_024,Dosha Fleshhacker III,"A Doshaguma switch axeas fearsome as the monsteritself. It sinks deep intoprey, shattering bone.",37,10000,6,210,20,-5,NONE,0,NONE,0,"[2, 1, 0]",['Power Prolonger: 3'],POWER,0,"[50, 80, 90, 50, 30, 0, 0]","[50, 0, 0, 0]",4,0
27,27,SLASH_AXE,SlashAxe_025,Uth Olacha I,"An Uth Duna switch axe thatroils the waters with eachswing, raising a tidal waveto devour prey.",31,2000,3,160,0,-15,WATER,15,NONE,0,"[0, 0, 0]",['Power Prolonger: 2'],ELEMENT,0,"[50, 70, 90, 40, 0, 0, 0]","[50, 0, 0, 0]",6,0
28,28,SLASH_AXE,SlashAxe_026,Uth Olacha II,"An Uth Duna switch axe thatroils the waters with eachswing, raising a tidal waveto devour prey.",32,4000,5,190,0,-15,WATER,19,NONE,0,"[2, 1, 0]",['Power Prolonger: 2'],ELEMENT,0,"[60, 70, 110, 60, 0, 0, 0]","[50, 0, 0, 0]",6,0
29,29,SLASH_AXE,SlashAxe_027,Uth Olacha III,"An Uth Duna switch axe thatroils the waters with eachswing, raising a tidal waveto devour prey.",33,14000,7,220,0,-15,WATER,22,NONE,0,"[3, 2, 0]",['Power Prolonger: 3'],ELEMENT,0,"[60, 70, 120, 70, 30, 0, 0]","[50, 0, 0, 0]",6,0
30,30,SLASH_AXE,SlashAxe_028,Olacha-of-the-Waves,"An upgraded Uth Olacha. Likean inexorable wave, it erasesthe land with no heed for thelife it takes.",34,20000,8,240,0,-15,WATER,25,NONE,0,"[3, 2, 1]",['Power Prolonger: 3'],ELEMENT,0,"[60, 60, 100, 70, 60, 0, 0]","[10, 40, 0, 0]",6,0
31,31,SLASH_AXE,SlashAxe_029,Windsunder Axe I,An axe made from Hirabamipincers. Great for both stabbingand slashing.,13,1500,3,140,0,0,ICE,12,NONE,0,"[0, 0, 0]","['Focus: 2', 'Airborne: 1']",ELEMENT,0,"[50, 60, 70, 70, 0, 0, 0]","[50, 0, 0, 0]",10,0
32,32,SLASH_AXE,SlashAxe_030,Windsunder Axe II,An axe made from Hirabamipincers. Great for both stabbingand slashing.,14,5000,5,170,0,0,ICE,15,NONE,0,"[2, 1, 0]","['Focus: 2', 'Airborne: 1']",ELEMENT,0,"[50, 50, 70, 90, 40, 0, 0]","[50, 0, 0, 0]",10,0
33,33,SLASH_AXE,SlashAxe_031,Windsunder Axe III,An axe made from Hirabamipincers. Great for both stabbingand slashing.,15,14000,7,200,0,0,ICE,17,NONE,0,"[3, 2, 0]","['Focus: 3', 'Airborne: 1']",ELEMENT,0,"[50, 50, 50, 30, 130, 40, 0]","[50, 0, 0, 0]",10,0
34,34,SLASH_AXE,SlashAxe_032,Windsunder Sakibami,An upgraded Windsunder Axethat can produce powerful gusts.It's said to have brought endlessvictory to a brave commander.,16,20000,8,220,0,0,ICE,20,NONE,0,"[3, 2, 1]","['Focus: 3', 'Airborne: 1']",ELEMENT,0,"[50, 50, 50, 30, 110, 60, 0]","[50, 0, 0, 0]",10,0
35,35,SLASH_AXE,SlashAxe_033,Nu Zhangyu I,"A Nu Udra switch axe. A livingmonster, the ebon blade lurksin the shadows, ready to exactdespair.",25,2600,4,170,0,-15,FIRE,12,NONE,0,"[1, 0, 0]",['Rapid Morph: 2'],POWER,0,"[100, 20, 70, 60, 0, 0, 0]","[50, 0, 0, 0]",11,0
36,36,SLASH_AXE,SlashAxe_034,Nu Zhangyu II,"A Nu Udra switch axe. A livingmonster, the ebon blade lurksin the shadows, ready to exactdespair.",26,14000,7,200,0,-15,FIRE,17,NONE,0,"[3, 2, 0]",['Rapid Morph: 3'],POWER,0,"[100, 20, 90, 70, 70, 0, 0]","[50, 0, 0, 0]",11,0
37,37,SLASH_AXE,SlashAxe_035,Abaddonian Zhangyu,"An upgraded Nu Zhangyu. Bornof the black and sustained bydespair, it sows chaos as itreaps life.",27,20000,8,220,0,-15,FIRE,20,NONE,0,"[3, 2, 1]",['Rapid Morph: 3'],POWER,0,"[100, 20, 90, 50, 50, 40, 0]","[50, 0, 0, 0]",11,0
38,38,SLASH_AXE,SlashAxe_036,Dosha Gorehacker I,"A Guardian Doshaguma switchaxe. To its defiers it showsno mercy, scornfully returningthem to nature.",44,2600,4,180,0,-15,NONE,0,NONE,0,"[1, 0, 0]",['Focus: 2'],DRAGON,32,"[20, 70, 120, 40, 0, 0, 0]","[50, 0, 0, 0]",100001,0
39,39,SLASH_AXE,SlashAxe_037,Dosha Gorehacker II,"A Guardian Doshaguma switchaxe. To its defiers it showsno mercy, scornfully returningthem to nature.",45,10000,6,220,0,-15,NONE,0,NONE,0,"[2, 2, 0]",['Focus: 2'],DRAGON,36,"[40, 90, 110, 60, 0, 0, 0]","[50, 0, 0, 0]",100001,0
40,40,SLASH_AXE,SlashAxe_038,Gorehacker Urgahaac,An upgraded Dosha Gorehacker.Its destructive impulsestransform wielders intoviolence incarnate.,46,20000,8,250,0,-15,NONE,0,NONE,0,"[3, 3, 1]",['Focus: 2'],DRAGON,40,"[40, 60, 100, 90, 60, 0, 0]","[10, 40, 0, 0]",100001,0
41,41,SLASH_AXE,SlashAxe_039,Albirath Flamesplitter I,"A Guardian Rathalos switch axe.Like a blazing fire, its wielder'sspirit never abates.",6,2600,4,160,0,15,FIRE,14,NONE,0,"[1, 0, 0]","[""Master's Touch: 1"", 'Critical Element: 1']",ELEMENT,0,"[50, 90, 60, 50, 0, 0, 0]","[50, 0, 0, 0]",100000,0
42,42,SLASH_AXE,SlashAxe_040,Albirath Flamesplitter II,"A Guardian Rathalos switch axe.Like a blazing fire, its wielder'sspirit never abates.",7,10000,6,180,0,15,FIRE,17,NONE,0,"[2, 1, 0]","[""Master's Touch: 1"", 'Critical Element: 1']",ELEMENT,0,"[50, 100, 50, 50, 50, 0, 0]","[20, 30, 0, 0]",100000,0
43,43,SLASH_AXE,SlashAxe_041,Albirath Blaze Splitter,An upgraded AlbirathFlamesplitter. A regal soulrests within its immaculateflood of power.,8,20000,8,210,0,15,FIRE,20,NONE,0,"[3, 2, 1]","[""Master's Touch: 1"", 'Critical Element: 1']",ELEMENT,0,"[50, 130, 50, 50, 40, 30, 0]","[50, 0, 0, 0]",100000,0
44,44,SLASH_AXE,SlashAxe_042,Nihil Switch Axe I,A Xu Wu switch axe made toreduce friction so its slenderedge silently slices fleshfrom bone.,17,2600,4,160,0,0,WATER,12,NONE,0,"[1, 0, 0]",['Power Prolonger: 2'],POWER,0,"[20, 110, 40, 80, 0, 0, 0]","[50, 0, 0, 0]",19,0
45,45,SLASH_AXE,SlashAxe_043,Nihil Switch Axe II,A Xu Wu switch axe made toreduce friction so its slenderedge silently slices fleshfrom bone.,18,10000,6,190,0,0,WATER,15,NONE,0,"[2, 1, 0]",['Power Prolonger: 3'],POWER,0,"[20, 110, 50, 60, 60, 0, 0]","[50, 0, 0, 0]",19,0
46,46,SLASH_AXE,SlashAxe_044,Brutus's Abolishment,"An upgraded Nihil Switch Axe.To the penitent, it is salvation;to the recalcitrant, a dire judge.",19,20000,8,210,0,0,WATER,18,NONE,0,"[3, 2, 1]",['Power Prolonger: 3'],POWER,0,"[20, 110, 50, 50, 40, 80, 0]","[50, 0, 0, 0]",19,0
47,47,SLASH_AXE,SlashAxe_045,G. Veldian Securis I,"A switch axe made from Guardianspoils. Strange power is conferredthrough the hilt, quieting all fear.",39,2600,4,170,0,-10,DRAGON,12,NONE,0,"[1, 1, 0]",['Focus: 2'],POWER,0,"[100, 30, 80, 40, 0, 0, 0]","[50, 0, 0, 0]",17,0
48,48,SLASH_AXE,SlashAxe_046,G. Veldian Securis II,"A switch axe made from Guardianspoils. Strange power is conferredthrough the hilt, quieting all fear.",40,10000,6,210,0,-10,DRAGON,15,NONE,0,"[2, 2, 0]",['Focus: 2'],POWER,0,"[100, 60, 80, 60, 0, 0, 0]","[10, 40, 0, 0]",17,0
49,49,SLASH_AXE,SlashAxe_047,G. Indomitable Perceval,An upgraded G. Veldian Securis.Its hilt lies in the hands of theweak; its edge at the throats oftyrants.,41,20000,8,230,0,-10,DRAGON,18,NONE,0,"[3, 3, 1]",['Focus: 2'],POWER,0,"[100, 70, 50, 70, 60, 0, 0]","[10, 40, 0, 0]",17,0
50,50,SLASH_AXE,SlashAxe_050,Beak Axe I,A switch axe made by grindingdown the Yian Kut-Ku'sdistinctive beak. Want asharp blade? This is it.,52,4000,5,180,0,0,FIRE,26,NONE,0,"[2, 1, 0]",['Power Prolonger: 2'],ELEMENT,0,"[90, 100, 50, 60, 0, 0, 0]","[20, 30, 0, 0]",13,0
51,51,SLASH_AXE,SlashAxe_051,Beak Axe II,A switch axe made by grindingdown the Yian Kut-Ku'sdistinctive beak. Want asharp blade? This is it.,53,14000,7,210,0,0,FIRE,32,NONE,0,"[3, 2, 0]",['Power Prolonger: 3'],ELEMENT,0,"[100, 110, 30, 70, 40, 0, 0]","[20, 30, 0, 0]",13,0
52,52,SLASH_AXE,SlashAxe_052,Sawbill Axe,"An upgraded Beak Axe, one nastybird that's ready to raze the worldand dare all to stop it.",54,20000,8,220,0,0,FIRE,35,NONE,0,"[3, 2, 1]",['Power Prolonger: 3'],ELEMENT,0,"[100, 120, 20, 60, 50, 0, 0]","[0, 50, 0, 0]",13,0
53,53,SLASH_AXE,SlashAxe_053,Dragonmaiden Axe I,A Rathian switch axe that wasonce given to a war maiden sobrave and pure that no bloodcould sully her.,57,5000,5,160,0,15,POISON,12,NONE,0,"[2, 1, 0]","['Critical Status: 2', 'Poison Duration Up: 1']",ELEMENT,0,"[50, 70, 40, 90, 50, 0, 0]","[50, 0, 0, 0]",7,0
54,54,SLASH_AXE,SlashAxe_054,Dragonmaiden Axe II,A Rathian switch axe that wasonce given to a war maiden sobrave and pure that no bloodcould sully her.,58,14000,7,190,0,15,POISON,15,NONE,0,"[3, 2, 0]","['Critical Status: 3', 'Poison Duration Up: 1']",ELEMENT,0,"[40, 80, 40, 110, 30, 50, 0]","[50, 0, 0, 0]",7,0
55,55,SLASH_AXE,SlashAxe_055,Gríðr's Landmaker,"An upgraded DragonmaidenAxe. Never did she cut so finea figure, untouched among thescarlet blood.",59,20000,8,210,0,15,POISON,18,NONE,0,"[3, 2, 1]","['Critical Status: 3', 'Poison Duration Up: 1']",ELEMENT,0,"[40, 80, 30, 100, 30, 70, 0]","[50, 0, 0, 0]",7,0
56,56,SLASH_AXE,SlashAxe_056,Morphing Fulgur I,A Guardian Fulgur Anjanathswitch axe. Only one able totame its brutality throughreason can wield it.,55,10000,6,180,0,15,ELEC,21,NONE,0,"[2, 1, 0]",['Critical Element: 3'],ELEMENT,0,"[40, 100, 100, 60, 0, 0, 0]","[10, 40, 0, 0]",100002,0
57,57,SLASH_AXE,SlashAxe_057,Fulgurswitch Guardiana,An upgraded Morphing Fulgur.Its savage urges thwart reasonand will destroy an overeagerwielder.,56,20000,8,210,0,15,ELEC,25,NONE,0,"[3, 2, 1]",['Critical Element: 3'],ELEMENT,0,"[40, 90, 120, 40, 60, 0, 0]","[0, 50, 0, 0]",100002,0
58,58,SLASH_AXE,SlashAxe_060,Rath Flamesplitter I,A Rathalos switch axe thatleverages its materials to allowthe hunter to ignite attacks.,60,10000,6,180,0,10,FIRE,21,NONE,0,"[2, 1, 0]",['Critical Boost: 3'],POWER,0,"[100, 70, 40, 30, 60, 0, 0]","[50, 0, 0, 0]",8,0
59,59,SLASH_AXE,SlashAxe_061,Rath Blaze Splitter,"An upgraded Rath Flamesplitter.Its blazing blade marks aconqueror, the king of allpurgatory.",61,20000,8,200,0,10,FIRE,25,NONE,0,"[3, 2, 1]",['Critical Boost: 3'],POWER,0,"[100, 70, 50, 40, 40, 50, 0]","[50, 0, 0, 0]",8,0
60,60,SLASH_AXE,SlashAxe_062,Eisenleib I,A Gore Magala switch axefavored by reapers of the dead.A single flash of darkness—andthe light is no more.,62,14000,7,180,0,20,DRAGON,16,NONE,0,"[3, 2, 0]",['Critical Element: 3'],POWER,0,"[50, 80, 80, 60, 30, 50, 0]","[50, 0, 0, 0]",9,0
61,61,SLASH_AXE,SlashAxe_063,Eisengeist,An upgraded Eisenleib. One flashof this forsaken brand instantlycondemns the living to the black.,63,20000,8,200,0,20,DRAGON,20,NONE,0,"[3, 2, 1]",['Critical Element: 3'],POWER,0,"[50, 50, 90, 50, 30, 80, 0]","[50, 0, 0, 0]",9,0
62,62,SLASH_AXE,SlashAxe_064,Veldian Securis I,"An Arkveld switch axe. Long ago,a knight harnessed its ferocityto prove themself to their king.",42,14000,7,200,0,0,DRAGON,22,NONE,0,"[3, 2, 0]",['Focus: 3'],ELEMENT,0,"[50, 50, 50, 80, 80, 40, 0]","[50, 0, 0, 0]",22,0
63,64,SLASH_AXE,SlashAxe_065,Artian Saw I,A weapon assembled fromunearthed fragments. Thesystem of blades suggeststhey faced formidable prey.,100,40,6,170,0,5,NONE,22,NONE,0,"[2, 2, 2]",[],DRAGON,12,"[80, 40, 60, 80, 40, 0, 0]","[20, 30, 0, 0]",100003,0
64,65,SLASH_AXE,SlashAxe_066,Artian Saw II,A weapon assembled fromunearthed fragments. Thesystem of blades suggeststhey faced formidable prey.,101,100,7,180,0,5,NONE,22,NONE,0,"[2, 2, 2]",[],DRAGON,12,"[80, 40, 60, 80, 70, 20, 0]","[50, 0, 0, 0]",100003,0
65,66,SLASH_AXE,SlashAxe_067,Mundus Altus,"An ancient weapon with latentpotential. In its final form,it could sever heaven from earth.",102,200,8,190,0,5,NONE,26,NONE,0,"[3, 3, 3]",[],DRAGON,22,"[80, 40, 60, 80, 70, 20, 0]","[50, 0, 0, 0]",100003,0
66,5,SLASH_AXE,SlashAxe_068,Esperanza Axe,"A fully field-tested Hope Axe.To reach a brighter future, youwill need more tricks than one.",5,20000,8,210,0,0,NONE,0,NONE,0,"[3, 2, 1]","['Speed Sharpening: 2', 'Critical Eye: 2']",POWER,0,"[50, 60, 50, 60, 40, 90, 0]","[50, 0, 0, 0]",0,0
67,26,SLASH_AXE,SlashAxe_069,Fleshhacker Yaogahaac,An upgraded Dosha Fleshhackerthat has been tempered inbattle and cries for morebloodshed yet.,38,20000,8,230,20,-5,NONE,0,NONE,0,"[3, 2, 1]",['Power Prolonger: 3'],POWER,0,"[50, 100, 100, 50, 50, 0, 0]","[0, 50, 0, 0]",5,0
68,63,SLASH_AXE,SlashAxe_070,Indomitable Perceval,An upgraded Veldian Securis.Its knight-wielder could shatterwyvern bone and sunder wyvernarmor.,43,20000,8,220,0,0,DRAGON,25,NONE,0,"[3, 2, 1]",['Focus: 3'],ELEMENT,0,"[50, 50, 50, 70, 70, 60, 0]","[50, 0, 0, 0]",22,0
