,,,,,,,,,,,,,,,,,,,,,,
1,Index,Type,Id,Name,Explain,SortId,Price,Rare,Attack,Defense,Critical,Attribute,AttributeValue,SubAttribute,SubAttributeValue,SlotLevel,SkillAndLevel,RodInsectLv,SharpnessValList,TakumiValList,ModelId,CustomModelId
40,40,ROD,Rod_038,Ajara-Bhadra,"An Ajara Trident by its true name.Divinely guided, the artisan thriceimbued it with hopes for salvation.",44,20000,8,210,0,10,BLAST,18,NONE,0,"[3, 2, 1]",['Power Prolonger: 3'],RIC_07,"[50, 60, 50, 90, 40, 60, 0]","[50, 0, 0, 0]",12,0
41,41,ROD,Rod_039,Guardian Rathmaul I,"A Guardian Rathalos insect glaive.Like a blazing fire, its wielder'sspirit never abates.",6,2600,4,160,0,15,FIRE,12,NONE,0,"[1, 0, 0]","[""Master's Touch: 1"", 'Critical Element: 1']",RIC_03,"[50, 90, 60, 50, 0, 0, 0]","[50, 0, 0, 0]",100000,0
42,42,ROD,Rod_040,Guardian Rathmaul II,"A Guardian Rathalos insect glaive.Like a blazing fire, its wielder'sspirit never abates.",7,10000,6,180,0,15,FIRE,17,NONE,0,"[2, 1, 0]","[""Master's Touch: 1"", 'Critical Element: 1']",RIC_05,"[50, 100, 50, 50, 50, 0, 0]","[20, 30, 0, 0]",100000,0
43,43,ROD,Rod_041,Alabaster Rathmaul,An upgraded Guardian Rathmaul.A regal soul rests within itsimmaculate flood of power.,8,20000,8,210,0,15,FIRE,20,NONE,0,"[3, 2, 1]","[""Master's Touch: 1"", 'Critical Element: 1']",RIC_07,"[50, 130, 50, 50, 40, 30, 0]","[50, 0, 0, 0]",100000,0
44,44,ROD,Rod_042,Jin Dhachhad,"A Jin Dahaad insect glaive thatconjures up frost winds, freezingall in sight without prejudice.",13,14000,7,190,0,0,ICE,32,NONE,0,"[3, 2, 0]",['Power Prolonger: 3'],RIC_06,"[40, 40, 30, 100, 110, 30, 0]","[50, 0, 0, 0]",20,0
45,45,ROD,Rod_043,Precipice Geumgel,"An upgraded Jin Dhachhad.Mantled in a frozen haze,its blade locks prey insidea prison of ice.",14,20000,8,210,0,0,ICE,35,NONE,0,"[3, 2, 1]",['Power Prolonger: 3'],RIC_07,"[40, 40, 20, 80, 120, 50, 0]","[50, 0, 0, 0]",20,0
46,46,ROD,Rod_046,Chthonian Vajra I,"A Guardian Ebony Odogaron insectglaive. Beholden to its ownbeastly cravings, its thirst forblood never wanes.",15,2600,4,140,0,10,DRAGON,16,NONE,0,"[1, 0, 0]",['Focus: 2'],RIC_03,"[50, 50, 70, 80, 0, 0, 0]","[50, 0, 0, 0]",100001,0
47,47,ROD,Rod_047,Chthonian Vajra II,"A Guardian Ebony Odogaron insectglaive. Beholden to its ownbeastly cravings, its thirst forblood never wanes.",16,10000,6,170,0,10,DRAGON,21,NONE,0,"[2, 1, 0]",['Focus: 3'],RIC_05,"[50, 50, 70, 70, 60, 0, 0]","[50, 0, 0, 0]",100001,0
48,48,ROD,Rod_048,Bequeathed Testament,"An upgraded Chthonian Vajra.Despite chewing free of its cycle ofhunger, the beast remains unsated.",17,20000,8,210,0,10,DRAGON,25,NONE,0,"[3, 2, 1]",['Focus: 3'],RIC_07,"[50, 50, 80, 80, 90, 50, 0]","[0, 0, 0, 0]",100001,0
49,49,ROD,Rod_049,G. Veldian Trudis I,An insect glaive made fromGuardian spoils. Each swingdulls one's ability to tellgood from evil.,32,2600,4,170,0,-10,DRAGON,12,NONE,0,"[1, 1, 0]",['Power Prolonger: 2'],RIC_03,"[100, 30, 80, 40, 0, 0, 0]","[50, 0, 0, 0]",19,0
50,50,ROD,Rod_050,G. Veldian Trudis II,An insect glaive made fromGuardian spoils. Each swingdulls one's ability to tellgood from evil.,33,10000,6,210,0,-10,DRAGON,15,NONE,0,"[2, 2, 0]",['Power Prolonger: 2'],RIC_05,"[100, 60, 80, 60, 0, 0, 0]","[10, 40, 0, 0]",19,0
51,51,ROD,Rod_051,G. Enduring Tor,"An upgraded G. Veldian Trudis.Long after its reason for war hasgone, the blade still lashes out.",34,20000,8,240,0,-10,DRAGON,18,NONE,0,"[3, 3, 1]",['Power Prolonger: 2'],RIC_07,"[100, 70, 50, 70, 60, 0, 0]","[10, 40, 0, 0]",19,0
52,52,ROD,Rod_054,Kut-Ku Pike I,"A rousing, vividly designed insectglaive that mimics the way a YianKut-Ku pounces on its prey.",54,4000,5,180,0,0,FIRE,26,NONE,0,"[2, 1, 0]",['Power Prolonger: 2'],RIC_05,"[90, 100, 50, 60, 0, 0, 0]","[20, 30, 0, 0]",14,0
53,53,ROD,Rod_055,Kut-Ku Pike II,"A rousing, vividly designed insectglaive that mimics the way a YianKut-Ku pounces on its prey.",55,14000,7,210,0,0,FIRE,32,NONE,0,"[3, 2, 0]",['Power Prolonger: 3'],RIC_08,"[100, 110, 30, 70, 40, 0, 0]","[20, 30, 0, 0]",14,0
54,54,ROD,Rod_056,Toucan Pike,An upgraded Kut-Ku Pike.There is no escape from the viciousgnashing of its sharp beak.,56,20000,8,220,0,0,FIRE,35,NONE,0,"[3, 2, 1]",['Power Prolonger: 3'],RIC_09,"[100, 120, 20, 60, 50, 0, 0]","[10, 40, 0, 0]",14,0
55,55,ROD,Rod_057,Princess Regalia I,An insect glaive lavishly craftedfrom the stunning and regaltrappings of the Rathian.,59,5000,5,160,0,15,POISON,12,NONE,0,"[2, 1, 0]","['Critical Status: 2', 'Poison Duration Up: 1']",RIC_04,"[50, 70, 40, 90, 50, 0, 0]","[50, 0, 0, 0]",8,0
56,56,ROD,Rod_058,Princess Regalia II,An insect glaive lavishly craftedfrom the stunning and regaltrappings of the Rathian.,60,14000,7,190,0,15,POISON,15,NONE,0,"[3, 2, 0]","['Critical Status: 3', 'Poison Duration Up: 1']",RIC_06,"[40, 80, 40, 110, 30, 50, 0]","[50, 0, 0, 0]",8,0
57,57,ROD,Rod_059,Queen Regalia,"The Princess Regalia's enhancedform. Every rose has its thorn...or in this case, its cruel poison.",61,20000,8,210,0,15,POISON,18,NONE,0,"[3, 2, 1]","['Critical Status: 3', 'Poison Duration Up: 1']",RIC_07,"[40, 80, 30, 100, 30, 70, 0]","[50, 0, 0, 0]",8,0
58,58,ROD,Rod_060,Rising Fulgur I,A Guardian Fulgur Anjanathinsect glaive. Only one ableto tame its brutality throughreason can wield it.,57,10000,6,180,0,15,ELEC,21,NONE,0,"[2, 1, 0]",['Critical Element: 3'],RIC_05,"[40, 100, 100, 60, 0, 0, 0]","[10, 40, 0, 0]",100002,0
59,59,ROD,Rod_061,Fulgurglaive Guardiana,An upgraded Rising Fulgur.Its savage urges thwart reasonand will destroy an overeagerwielder.,58,20000,8,210,0,15,ELEC,25,NONE,0,"[3, 2, 1]",['Critical Element: 3'],RIC_07,"[40, 90, 120, 40, 60, 0, 0]","[0, 50, 0, 0]",100002,0
60,60,ROD,Rod_062,Blizzard Glaive I,A Blangonga insect glaive thatassails prey with a flurry ofblows and yields no mobilityto any storm.,66,10000,6,200,0,-10,ICE,14,NONE,0,"[2, 1, 0]",['Focus: 3'],RIC_06,"[50, 30, 90, 80, 50, 0, 0]","[50, 0, 0, 0]",17,0
61,61,ROD,Rod_063,Immaculate Blizzard,An upgraded Blizzard Glaive thathandles as nimbly as the simiangod who hurdled the islands ofthe sea.,67,20000,8,230,0,-10,ICE,18,NONE,0,"[3, 2, 1]",['Focus: 3'],RIC_09,"[50, 30, 90, 80, 50, 50, 0]","[50, 0, 0, 0]",17,0
62,62,ROD,Rod_064,Graviafaren I,An insect glaive made of Graviosbone. The head ornament seemsto herald the approach of a realGravios.,68,10000,6,220,30,-15,BLAST,19,NONE,0,"[2, 2, 0]",['Punishing Draw: 3'],RIC_04,"[90, 70, 80, 60, 0, 0, 0]","[30, 20, 0, 0]",16,0
63,63,ROD,Rod_065,Gravordius,"An inferno to blaze the way,leaving naught but ash in its wake.Such is the upgraded Graviafaren.",69,20000,8,250,30,-15,BLAST,25,NONE,0,"[3, 3, 1]",['Punishing Draw: 3'],RIC_05,"[80, 70, 70, 70, 60, 0, 0]","[50, 0, 0, 0]",16,0
64,64,ROD,Rod_068,Rathmaul I,An insect glaive made fromRathalos materials. Its everyfiery strike evokes the king'svaliant rage.,62,10000,6,180,0,10,FIRE,21,NONE,0,"[2, 1, 0]",['Critical Boost: 3'],RIC_05,"[100, 70, 40, 30, 60, 0, 0]","[50, 0, 0, 0]",9,0
65,65,ROD,Rod_069,Firedance Rathmaul,"An upgraded Rathmaul.No longer containable, the king'srage will soon devour the land.",63,20000,8,200,0,10,FIRE,25,NONE,0,"[3, 2, 1]",['Critical Boost: 3'],RIC_07,"[100, 70, 50, 40, 40, 50, 0]","[50, 0, 0, 0]",9,0
66,66,ROD,Rod_070,Leumundslist,An insect glaive imbued with theanimus of a dead Gore Magala.Just holding it conjures abaleful miasma.,64,14000,7,180,0,20,DRAGON,16,NONE,0,"[3, 2, 0]",['Critical Element: 3'],RIC_08,"[50, 80, 80, 60, 30, 50, 0]","[50, 0, 0, 0]",10,0
67,67,ROD,Rod_071,Leumundsgift,"The Leumundslist's enhancedform. The miasma spreadsthrough the land, layingwaste to all in its path.",65,20000,8,200,0,20,DRAGON,20,NONE,0,"[3, 2, 1]",['Critical Element: 3'],RIC_09,"[50, 50, 90, 50, 30, 80, 0]","[50, 0, 0, 0]",10,0
68,68,ROD,Rod_072,Veldian Trudis I,An Arkveld insect glaive. Theknight who wielded it had acharitable heart toward allnature.,35,14000,7,200,0,0,DRAGON,22,NONE,0,"[3, 2, 0]",['Power Prolonger: 3'],RIC_06,"[50, 50, 50, 80, 80, 40, 0]","[50, 0, 0, 0]",23,0
69,70,ROD,Rod_073,Artian Glaive I,A weapon assembled from unearthedfragments. The deployed helix seemsto be the blueprint for a creature.,100,40,6,170,0,5,NONE,22,NONE,0,"[2, 2, 2]",[],RIC_05,"[80, 40, 60, 80, 40, 0, 0]","[20, 30, 0, 0]",100003,0
70,71,ROD,Rod_074,Artian Glaive II,A weapon assembled from unearthedfragments. The deployed helix seemsto be the blueprint for a creature.,101,100,7,180,0,5,NONE,22,NONE,0,"[2, 2, 2]",[],RIC_06,"[80, 40, 60, 80, 70, 20, 0]","[50, 0, 0, 0]",100003,0
71,72,ROD,Rod_075,Diprielcha,"An ancient weapon with latentpotential. The evolution in thehelix... Does it depict hope, or...?",102,200,8,190,0,5,NONE,26,NONE,0,"[3, 3, 3]",[],RIC_07,"[80, 40, 60, 80, 70, 20, 0]","[50, 0, 0, 0]",100003,0
72,5,ROD,Rod_076,Esperanza Glaive,"A fully field-tested Hope Glaive.It buoys a despairing heart, liftingyou effortlessly through the air.",5,20000,8,210,0,0,NONE,0,NONE,0,"[3, 2, 1]","['Speed Sharpening: 2', 'Critical Eye: 2']",RIC_07,"[50, 60, 50, 60, 40, 90, 0]","[50, 0, 0, 0]",2,0
73,19,ROD,Rod_077,Shrouded Laphoka,"An upgraded Chata Glaive,capable of barraging opponentswith the tenacity of an endlessgravel storm.",31,20000,8,230,15,0,NONE,0,NONE,0,"[3, 2, 1]",['Power Prolonger: 3'],RIC_07,"[60, 10, 100, 90, 90, 0, 0]","[0, 50, 0, 0]",1,0
74,69,ROD,Rod_078,Enduring Tor,"An upgraded Veldian Trudis. In awar-torn land, its knight-wieldersought to lead the people to peace.",36,20000,8,220,0,0,DRAGON,25,NONE,0,"[3, 2, 1]",['Power Prolonger: 3'],RIC_08,"[50, 50, 50, 70, 70, 60, 0]","[50, 0, 0, 0]",23,0
