,,,,,,,,,,,,,,,,,,,,,
1,Index,Type,Id,Name,Explain,SortId,Price,Rare,Attack,Defense,Critical,Attribute,AttributeValue,SubAttribute,SubAttributeValue,SlotLevel,SkillAndLevel,SharpnessValList,TakumiValList,ModelId,CustomModelId
23,17,TACHI,Tachi_044,Quematrice Lima III,A Quematrice long sword thatsprays oil from its scabbard onthe draw to ignite the blade.,23,4000,5,170,0,5,FIRE,15,NONE,0,"[2, 1, 0]",['Punishing Draw: 2'],"[70, 80, 80, 50, 20, 0, 0]","[50, 0, 0, 0]",4,0
24,18,TACHI,Tachi_045,Quematrice Lima IV,A Quematrice long sword thatsprays oil from its scabbard onthe draw to ignite the blade.,24,14000,7,210,0,5,FIRE,17,NONE,0,"[3, 2, 0]",['Punishing Draw: 3'],"[70, 80, 80, 80, 40, 0, 0]","[50, 0, 0, 0]",4,0
25,19,TACHI,Tachi_046,Firetrail Ferrocere,An upgraded Quematrice Lima.To approach this gnash of fireis to embrace one's immolation.,25,20000,8,230,0,5,FIRE,20,NONE,0,"[3, 2, 1]",['Punishing Draw: 3'],"[60, 70, 80, 80, 60, 0, 0]","[50, 0, 0, 0]",5,0
26,11,TACHI,Tachi_050,Iron Katana I,"A sword forged with historicEastern techniques. Durable,but requires regular upkeep.",9,800,2,120,0,0,NONE,0,NONE,0,"[0, 0, 0]",['Critical Draw: 1'],"[30, 40, 90, 40, 0, 0, 0]","[50, 0, 0, 0]",10000,0
27,12,TACHI,Tachi_051,Iron Katana II,"A sword forged with historicEastern techniques. Durable,but requires regular upkeep.",10,2600,4,160,0,0,NONE,0,NONE,0,"[1, 0, 0]",['Critical Draw: 2'],"[30, 60, 90, 70, 0, 0, 0]","[50, 0, 0, 0]",10000,0
28,13,TACHI,Tachi_052,Iron Katana III,"A sword forged with historicEastern techniques. Durable,but requires regular upkeep.",11,10000,6,190,0,0,NONE,0,NONE,0,"[2, 1, 0]",['Critical Draw: 3'],"[30, 70, 90, 60, 50, 0, 0]","[50, 0, 0, 0]",10000,0
29,14,TACHI,Tachi_053,Keen Edge,"The saw-like teeth of thisblade makes it deadly, butrequires much training toutilize effectively.",12,20000,8,220,0,0,NONE,0,NONE,0,"[3, 2, 1]",['Critical Draw: 3'],"[30, 60, 90, 70, 50, 50, 0]","[50, 0, 0, 0]",10002,0
30,52,TACHI,Tachi_058,"Wyvern Blade ""Ash"" I","A Guardian Rathalos long sword.Like a blazing fire, itswielder's spirit never abates.",6,2600,4,160,0,15,FIRE,21,NONE,0,"[1, 0, 0]","[""Master's Touch: 1"", 'Critical Element: 1']","[50, 100, 60, 40, 0, 0, 0]","[50, 0, 0, 0]",100000,0
31,53,TACHI,Tachi_059,"Wyvern Blade ""Ash"" II","A Guardian Rathalos long sword.Like a blazing fire, itswielder's spirit never abates.",7,10000,6,180,0,15,FIRE,26,NONE,0,"[2, 1, 0]","[""Master's Touch: 1"", 'Critical Element: 1']","[50, 120, 50, 40, 40, 0, 0]","[20, 30, 0, 0]",100000,0
32,54,TACHI,Tachi_060,"Wyvern Blade ""Lily""","An upgraded Wyvern Blade ""Ash.""A regal soul rests within itsimmaculate flood of power.",8,20000,8,210,0,15,FIRE,30,NONE,0,"[3, 2, 1]","[""Master's Touch: 1"", 'Critical Element: 1']","[50, 150, 50, 40, 40, 20, 0]","[50, 0, 0, 0]",100000,0
33,65,TACHI,Tachi_066,"Wyvern Blade ""Blood"" I",A Rathalos long sword huedlike the rust of the setting sun.Each cut delivers burning agony.,63,10000,6,180,0,10,FIRE,29,NONE,0,"[2, 1, 0]",['Critical Boost: 3'],"[100, 70, 50, 30, 50, 0, 0]","[50, 0, 0, 0]",12,0
34,66,TACHI,Tachi_067,"Wyvern Blade ""Maple""","The upgraded form of theWyvern Blade ""Blood."" Withtwilight strokes, it paints theworld's fiery end.",64,20000,8,200,0,10,FIRE,35,NONE,0,"[3, 2, 1]",['Critical Boost: 3'],"[100, 70, 50, 40, 50, 40, 0]","[50, 0, 0, 0]",12,0
35,58,TACHI,Tachi_071,"Wyvern Blade ""Verde"" I","A Rathian long sword withthe same deep green hues,this masterwork achievessharpness and power alike.",60,5000,5,160,0,15,POISON,14,NONE,0,"[2, 1, 0]","['Critical Status: 2', 'Poison Duration Up: 1']","[50, 70, 40, 100, 40, 0, 0]","[50, 0, 0, 0]",11,0
36,59,TACHI,Tachi_072,"Wyvern Blade ""Verde"" II","A Rathian long sword withthe same deep green hues,this masterwork achievessharpness and power alike.",61,14000,7,190,0,15,POISON,17,NONE,0,"[3, 2, 0]","['Critical Status: 3', 'Poison Duration Up: 1']","[40, 80, 40, 120, 30, 40, 0]","[50, 0, 0, 0]",11,0
37,60,TACHI,Tachi_073,"Wyvern Blade ""Holly""","The upgraded form of the WyvernBlade ""Verde."" Its sharpnessand power can only be calledpeerless.",62,20000,8,210,0,15,POISON,20,NONE,0,"[3, 2, 1]","['Critical Status: 3', 'Poison Duration Up: 1']","[40, 80, 30, 110, 30, 60, 0]","[50, 0, 0, 0]",11,0
38,20,TACHI,Tachi_076,Barina Flamberge I,"A Lala Barina long sword witha monochrome blade and scabbard,and a bite that leaves preyparalyzed.",51,500,1,100,0,10,PARALYSE,10,NONE,0,"[0, 0, 0]",['Critical Draw: 1'],"[50, 50, 40, 60, 0, 0, 0]","[50, 0, 0, 0]",6,0
39,21,TACHI,Tachi_077,Barina Flamberge II,"A Lala Barina long sword witha monochrome blade and scabbard,and a bite that leaves preyparalyzed.",52,1500,3,120,0,10,PARALYSE,13,NONE,0,"[0, 0, 0]","['Critical Draw: 1', 'Critical Status: 1']","[70, 50, 30, 100, 0, 0, 0]","[50, 0, 0, 0]",6,0
40,22,TACHI,Tachi_078,Barina Flamberge III,"A Lala Barina long sword witha monochrome blade and scabbard,and a bite that leaves preyparalyzed.",53,4000,5,150,0,15,PARALYSE,18,NONE,0,"[2, 1, 0]","['Critical Draw: 1', 'Critical Status: 1']","[70, 50, 30, 100, 50, 0, 0]","[50, 0, 0, 0]",6,0
41,23,TACHI,Tachi_079,Barina Flamberge IV,"A Lala Barina long sword witha monochrome blade and scabbard,and a bite that leaves preyparalyzed.",54,14000,7,180,0,15,PARALYSE,21,NONE,0,"[3, 2, 0]","['Critical Draw: 2', 'Critical Status: 1']","[70, 50, 30, 90, 60, 50, 0]","[50, 0, 0, 0]",6,0
42,24,TACHI,Tachi_080,Lala Ornithocton,An upgraded Barina Flamberge.Each effortless slash leavescrimson evidence of itssuperior make.,55,20000,8,200,0,15,PARALYSE,25,NONE,0,"[3, 2, 1]","['Critical Draw: 2', 'Critical Status: 1']","[70, 50, 30, 60, 40, 100, 0]","[50, 0, 0, 0]",7,0
43,41,TACHI,Tachi_084,Blood Cry I,"A slender long sword resemblinga Nerscylla's leg, so sharpthat prey die before feelingits sting.",56,1500,3,120,0,10,SLEEP,13,NONE,0,"[0, 0, 0]",['Power Prolonger: 2'],"[70, 50, 30, 100, 0, 0, 0]","[50, 0, 0, 0]",14,0
44,42,TACHI,Tachi_085,Blood Cry II,"A slender long sword resemblinga Nerscylla's leg, so sharpthat prey die before feelingits sting.",57,5000,5,150,0,15,SLEEP,18,NONE,0,"[2, 1, 0]",['Power Prolonger: 2'],"[70, 50, 30, 100, 50, 0, 0]","[50, 0, 0, 0]",14,0
45,43,TACHI,Tachi_086,Blood Cry III,"A slender long sword resemblinga Nerscylla's leg, so sharpthat prey die before feelingits sting.",58,14000,7,180,0,15,SLEEP,22,NONE,0,"[3, 2, 0]",['Power Prolonger: 3'],"[70, 50, 30, 90, 60, 50, 0]","[50, 0, 0, 0]",14,0
46,44,TACHI,Tachi_087,Blood Scream,The Blood Cry's upgraded form—its supple blade now thickenedout for additional rigidity.,59,20000,8,200,0,15,SLEEP,25,NONE,0,"[3, 2, 1]",['Power Prolonger: 3'],"[70, 50, 30, 60, 40, 100, 0]","[50, 0, 0, 0]",14,0
47,6,TACHI,Tachi_092,Bone Shotel I,A long sword carved from bone.Excess weight has been paredaway to allow for a quick flurryof blows.,30,500,1,110,0,0,NONE,0,NONE,0,"[0, 0, 0]",['Focus: 1'],"[50, 80, 70, 0, 0, 0, 0]","[40, 10, 0, 0]",10004,0
48,7,TACHI,Tachi_093,Bone Shotel II,A long sword carved from bone.Excess weight has been paredaway to allow for a quick flurryof blows.,31,800,2,130,0,0,NONE,0,NONE,0,"[0, 0, 0]","['Focus: 1', 'Attack Boost: 1']","[50, 50, 100, 0, 0, 0, 0]","[20, 30, 0, 0]",10004,0
49,8,TACHI,Tachi_094,Bone Shotel III,A long sword carved from bone.Excess weight has been paredaway to allow for a quick flurryof blows.,32,2600,4,170,0,0,NONE,0,NONE,0,"[1, 0, 0]","['Focus: 2', 'Attack Boost: 1']","[50, 70, 100, 30, 0, 0, 0]","[50, 0, 0, 0]",10004,0
50,9,TACHI,Tachi_095,Bone Shotel IV,A long sword carved from bone.Excess weight has been paredaway to allow for a quick flurryof blows.,33,10000,6,200,0,0,NONE,0,NONE,0,"[2, 1, 0]","['Focus: 3', 'Attack Boost: 1']","[50, 70, 80, 100, 0, 0, 0]","[50, 0, 0, 0]",10004,0
51,10,TACHI,Tachi_096,Hard Bone Shotel,Thorough polishing hassharpened the Bone Shotel intoa razor edge that rivals metal.,34,20000,8,230,0,0,NONE,0,NONE,0,"[3, 2, 1]","['Focus: 3', 'Attack Boost: 1']","[50, 60, 70, 70, 100, 0, 0]","[50, 0, 0, 0]",10004,0
52,61,TACHI,Tachi_100,Gnashing Fulgur I,A Guardian Fulgur Anjanathlong sword. Only one able totame its brutality throughreason can wield it.,67,10000,6,180,0,20,ELEC,29,NONE,0,"[2, 1, 0]",['Critical Element: 3'],"[40, 100, 110, 50, 0, 0, 0]","[10, 40, 0, 0]",100002,0
53,62,TACHI,Tachi_101,Fulgurblade Guardiana,An upgraded Gnashing Fulgur.Its savage urges thwart reasonand will destroy an overeagerwielder.,68,20000,8,210,0,20,ELEC,35,NONE,0,"[3, 2, 1]",['Critical Element: 3'],"[40, 90, 120, 50, 50, 0, 0]","[0, 50, 0, 0]",100002,0
54,33,TACHI,Tachi_105,Rompo Hacker I,A serrated Rompopolo longsword laced with toxins thatfacilitate simultaneousresection and poisoning.,13,1500,3,140,0,0,POISON,15,NONE,0,"[0, 0, 0]",['Power Prolonger: 2'],"[50, 60, 100, 40, 0, 0, 0]","[50, 0, 0, 0]",9,0
55,34,TACHI,Tachi_106,Rompo Hacker II,A serrated Rompopolo longsword laced with toxins thatfacilitate simultaneousresection and poisoning.,14,4000,5,170,0,0,POISON,19,NONE,0,"[2, 1, 0]",['Power Prolonger: 2'],"[50, 50, 100, 90, 10, 0, 0]","[50, 0, 0, 0]",9,0
56,35,TACHI,Tachi_107,Rompo Hacker III,A serrated Rompopolo longsword laced with toxins thatfacilitate simultaneousresection and poisoning.,15,14000,7,200,0,0,POISON,22,NONE,0,"[3, 2, 0]",['Power Prolonger: 3'],"[60, 50, 100, 30, 100, 10, 0]","[50, 0, 0, 0]",9,0
57,36,TACHI,Tachi_108,Rompo Mytoxin,"An upgraded Rompo Hacker withimproved severing efficiency.The more the prey struggles, themore potent its venom becomes.",16,20000,8,220,0,0,POISON,25,NONE,0,"[3, 2, 1]",['Power Prolonger: 3'],"[40, 50, 100, 30, 100, 30, 0]","[50, 0, 0, 0]",9,0
58,25,TACHI,Tachi_113,Dosha Fatecleaver I,A Doshaguma long sword thatsprings with a howl from itsscabbard at the first sightof an adversary.,39,800,2,140,20,-5,NONE,0,NONE,0,"[0, 0, 0]",['Punishing Draw: 1'],"[30, 90, 80, 0, 0, 0, 0]","[20, 30, 0, 0]",0,0
59,26,TACHI,Tachi_114,Dosha Fatecleaver II,A Doshaguma long sword thatsprings with a howl from itsscabbard at the first sightof an adversary.,40,2600,4,180,20,-5,NONE,0,NONE,0,"[1, 0, 0]",['Punishing Draw: 2'],"[40, 90, 90, 30, 0, 0, 0]","[50, 0, 0, 0]",0,0
60,27,TACHI,Tachi_115,Dosha Fatecleaver III,A Doshaguma long sword thatsprings with a howl from itsscabbard at the first sightof an adversary.,41,10000,6,210,20,-5,NONE,0,NONE,0,"[2, 1, 0]",['Punishing Draw: 3'],"[50, 80, 90, 60, 20, 0, 0]","[50, 0, 0, 0]",0,0
61,63,TACHI,Tachi_121,Blanberge I,"A Blangonga long sword witha distinct rippled blade.On the draw, it unleashesa tsunami of amplified cold.",69,10000,6,200,0,-10,ICE,16,NONE,0,"[2, 1, 0]",['Critical Draw: 3'],"[50, 30, 100, 80, 40, 0, 0]","[50, 0, 0, 0]",19,0
62,64,TACHI,Tachi_122,Blangongaberge,An upgraded Blanberge.One flash of this icy bladecould sunder a fire god andfreeze him to the soul.,70,20000,8,230,0,-10,ICE,20,NONE,0,"[3, 2, 1]",['Critical Draw: 3'],"[50, 30, 100, 80, 50, 40, 0]","[50, 0, 0, 0]",19,0
63,49,TACHI,Tachi_126,Dosha Gravecleaver I,"A Guardian Doshaguma longsword. To its defiers it showsno mercy, brutally returningthem to nature.",48,2600,4,180,0,-15,NONE,0,NONE,0,"[1, 0, 0]",['Power Prolonger: 2'],"[30, 70, 120, 30, 0, 0, 0]","[50, 0, 0, 0]",100001,0
64,50,TACHI,Tachi_127,Dosha Gravecleaver II,"A Guardian Doshaguma longsword. To its defiers it showsno mercy, brutally returningthem to nature.",49,10000,6,220,0,-15,NONE,0,NONE,0,"[2, 1, 0]",['Power Prolonger: 3'],"[50, 100, 100, 50, 0, 0, 0]","[50, 0, 0, 0]",100001,0
65,51,TACHI,Tachi_128,Gravecleaver Urkemush,An upgraded Dosha Gravecleaver.Its destructive impulsestransform wielders into violenceincarnate.,50,20000,8,250,0,-15,NONE,0,NONE,0,"[3, 2, 1]",['Power Prolonger: 3'],"[50, 70, 90, 90, 50, 0, 0]","[20, 30, 0, 0]",100001,0
66,55,TACHI,Tachi_134,G. Veldian Ensis I,"A long sword made from Guardianspoils. When facing a wyvern,its hilt seems to nestlecloser in hand.",43,2600,4,170,0,-10,DRAGON,14,NONE,0,"[1, 1, 0]",['Focus: 2'],"[100, 30, 90, 30, 0, 0, 0]","[50, 0, 0, 0]",21,0
67,56,TACHI,Tachi_135,G. Veldian Ensis II,"A long sword made from Guardianspoils. When facing a wyvern,its hilt seems to nestlecloser in hand.",44,10000,6,210,0,-10,DRAGON,17,NONE,0,"[2, 2, 0]",['Focus: 2'],"[100, 60, 90, 50, 0, 0, 0]","[10, 40, 0, 0]",21,0
68,57,TACHI,Tachi_136,G. Righteous Lancelot,"An upgraded G. Veldian Ensis.It exists for the sake of others,its edge trained upon injustice.",45,20000,8,240,0,-10,DRAGON,20,NONE,0,"[3, 3, 1]",['Focus: 2'],"[100, 70, 50, 80, 50, 0, 0]","[10, 40, 0, 0]",21,0
69,69,TACHI,Tachi_142,Veldian Ensis I,An Arkveld long sword. A weaponlike this once hung at the sideof a wyvern-hunting knight.,46,14000,7,200,0,0,DRAGON,32,NONE,0,"[3, 2, 0]",['Focus: 3'],"[50, 50, 50, 80, 90, 30, 0]","[50, 0, 0, 0]",24,0
70,71,TACHI,Tachi_155,Artian Saber I,A weapon assembled fromunearthed fragments. The massof matter at its core maintainsits high sharpness.,100,40,6,170,0,5,NONE,23,NONE,0,"[2, 2, 2]",[],"[80, 40, 60, 80, 40, 0, 0]","[20, 30, 0, 0]",100003,0
71,72,TACHI,Tachi_156,Artian Saber II,A weapon assembled fromunearthed fragments. The massof matter at its core maintainsits high sharpness.,101,100,7,180,0,5,NONE,23,NONE,0,"[2, 2, 2]",[],"[80, 40, 60, 80, 70, 20, 0]","[50, 0, 0, 0]",100003,0
72,73,TACHI,Tachi_157,Dimensius,"An ancient weapon with latentpotential. In its originalform, its blade could partspace itself.",102,200,8,190,0,5,NONE,27,NONE,0,"[3, 3, 3]",[],"[80, 40, 60, 80, 70, 20, 0]","[50, 0, 0, 0]",100003,0
73,5,TACHI,Tachi_167,Esperanza Edge,"A fully field-tested Hope Edge.A hundred slashes cut athousand walls, openinga path to tomorrow.",5,20000,8,210,0,0,NONE,0,NONE,0,"[3, 2, 1]","['Speed Sharpening: 2', 'Critical Eye: 2']","[50, 60, 60, 60, 40, 80, 0]","[50, 0, 0, 0]",3,0
74,28,TACHI,Tachi_168,Fatecleaver Kimkemush,"An upgraded Dosha Fatecleaver.Like an angry, thirsty fang,it craves blood—anyone's,everyone's.",42,20000,8,240,20,-5,NONE,0,NONE,0,"[3, 2, 1]",['Punishing Draw: 3'],"[50, 100, 110, 50, 40, 0, 0]","[0, 50, 0, 0]",1,0
75,70,TACHI,Tachi_169,Righteous Lancelot,An upgraded Veldian Ensis.Its knight-wielder felled any whothreatened an ideal kingdom.,47,20000,8,220,0,0,DRAGON,35,NONE,0,"[3, 2, 1]",['Focus: 3'],"[50, 50, 50, 70, 80, 50, 0]","[50, 0, 0, 0]",24,0
